sales_method,year,price_per_unit,margin
In-store,2020,50.00,50%
In-store,2020,50.00,30%
In-store,2020,40.00,35%
In-store,2020,45.00,35%
In-store,2020,60.00,30%
In-store,2020,50.00,25%
In-store,2020,50.00,50%
Outlet,2020,50.00,30%
Outlet,2020,40.00,35%
Outlet,2020,45.00,35%
Outlet,2020,60.00,30%
Outlet,2020,50.00,25%
Outlet,2020,50.00,50%
Outlet,2020,50.00,30%
Outlet,2020,40.00,35%
Outlet,2020,45.00,35%
Outlet,2020,60.00,30%
Outlet,2020,50.00,25%
Outlet,2020,50.00,50%
Outlet,2020,50.00,30%
Outlet,2020,40.00,35%
Outlet,2020,45.00,35%
Outlet,2020,60.00,30%
Outlet,2020,50.00,25%
Outlet,2020,60.00,50%
Outlet,2020,55.00,30%
Outlet,2020,50.00,35%
Outlet,2020,50.00,35%
Outlet,2020,60.00,30%
Outlet,2020,65.00,25%
Outlet,2020,60.00,50%
Outlet,2020,55.00,30%
Outlet,2020,50.00,35%
Outlet,2020,50.00,35%
Outlet,2020,60.00,30%
Outlet,2020,65.00,25%
Outlet,2020,60.00,50%
Outlet,2020,55.00,30%
Outlet,2020,50.00,35%
Outlet,2020,50.00,35%
Outlet,2020,60.00,30%
Outlet,2020,65.00,25%
Outlet,2020,60.00,50%
Outlet,2020,55.00,30%
Outlet,2020,50.00,35%
Outlet,2020,50.00,35%
Outlet,2020,60.00,30%
Outlet,2020,65.00,25%
Outlet,2020,60.00,50%
Outlet,2020,55.00,30%
Outlet,2020,50.00,35%
Outlet,2020,50.00,35%
Outlet,2020,60.00,30%
Outlet,2020,65.00,25%
Outlet,2020,65.00,30%
Outlet,2020,70.00,25%
Outlet,2020,65.00,50%
Outlet,2020,55.00,30%
Outlet,2020,55.00,35%
Outlet,2020,55.00,35%
Outlet,2020,65.00,30%
Outlet,2020,70.00,25%
Outlet,2020,65.00,50%
Outlet,2020,55.00,30%
Outlet,2020,55.00,35%
Outlet,2020,55.00,35%
Outlet,2020,65.00,30%
Outlet,2020,70.00,25%
Outlet,2020,25.00,35%
Outlet,2020,35.00,35%
Outlet,2020,35.00,35%
Outlet,2020,35.00,45%
Outlet,2020,40.00,30%
Outlet,2020,35.00,50%
Outlet,2020,25.00,35%
Outlet,2020,35.00,35%
Outlet,2020,35.00,35%
Outlet,2020,35.00,45%
Outlet,2020,40.00,30%
Outlet,2020,35.00,50%
Outlet,2020,30.00,35%
Outlet,2020,40.00,35%
Outlet,2020,35.00,35%
Outlet,2020,40.00,45%
Outlet,2020,45.00,30%
Outlet,2020,40.00,50%
Outlet,2020,30.00,35%
Outlet,2020,40.00,35%
Outlet,2020,35.00,35%
Outlet,2020,40.00,45%
Outlet,2020,45.00,30%
Outlet,2020,40.00,50%
Outlet,2020,30.00,35%
Outlet,2020,40.00,35%
Outlet,2020,35.00,35%
Outlet,2020,40.00,45%
Outlet,2020,45.00,30%
Outlet,2020,40.00,50%
Outlet,2020,40.00,35%
Outlet,2020,45.00,35%
Outlet,2020,40.00,35%
Outlet,2020,40.00,45%
Outlet,2020,45.00,30%
Outlet,2020,50.00,50%
Outlet,2020,40.00,35%
Outlet,2020,45.00,35%
Outlet,2020,40.00,35%
Outlet,2020,40.00,45%
Outlet,2020,45.00,30%
Outlet,2020,50.00,50%
Outlet,2020,40.00,35%
Outlet,2020,45.00,35%
Outlet,2020,40.00,35%
Outlet,2020,40.00,45%
Outlet,2020,45.00,30%
Outlet,2020,50.00,50%
Outlet,2020,45.00,35%
Outlet,2020,45.00,35%
Outlet,2020,50.00,35%
Outlet,2020,50.00,45%
Outlet,2020,45.00,30%
Outlet,2020,55.00,50%
Outlet,2020,45.00,35%
Outlet,2020,45.00,35%
Outlet,2020,50.00,35%
Outlet,2020,50.00,45%
Outlet,2020,45.00,30%
Outlet,2020,55.00,50%
Outlet,2020,45.00,35%
Outlet,2020,45.00,35%
Outlet,2020,50.00,35%
Outlet,2020,50.00,45%
Outlet,2020,45.00,30%
Outlet,2020,55.00,50%
Outlet,2020,45.00,35%
Outlet,2020,45.00,35%
Outlet,2020,50.00,35%
Outlet,2020,50.00,45%
Outlet,2020,45.00,30%
Outlet,2020,55.00,50%
Outlet,2020,40.00,35%
Outlet,2020,50.00,20%
Outlet,2020,50.00,35%
Outlet,2020,50.00,30%
Outlet,2020,55.00,50%
Outlet,2020,50.00,15%
Outlet,2020,40.00,35%
Outlet,2020,50.00,20%
Outlet,2020,50.00,35%
Outlet,2020,50.00,30%
Outlet,2020,55.00,50%
Outlet,2020,50.00,15%
Outlet,2020,50.00,35%
Outlet,2020,60.00,20%
Outlet,2020,60.00,35%
Outlet,2020,60.00,30%
Outlet,2020,65.00,50%
Outlet,2020,60.00,15%
Outlet,2020,60.00,35%
Outlet,2020,65.00,20%
Outlet,2020,65.00,35%
Outlet,2020,60.00,30%
Outlet,2020,65.00,50%
Outlet,2020,80.00,15%
Outlet,2020,60.00,40%
Outlet,2021,65.00,25%
Outlet,2021,65.00,40%
Outlet,2021,60.00,35%
Outlet,2021,65.00,55%
Outlet,2021,80.00,20%
Outlet,2021,60.00,40%
Outlet,2021,65.00,25%
Outlet,2021,65.00,40%
Outlet,2021,60.00,35%
Outlet,2021,65.00,55%
Outlet,2021,80.00,20%
Outlet,2021,60.00,35%
Outlet,2021,65.00,20%
Outlet,2021,65.00,35%
Outlet,2021,60.00,30%
Outlet,2021,65.00,50%
Outlet,2021,80.00,15%
Outlet,2021,65.00,35%
Outlet,2021,70.00,20%
Outlet,2021,65.00,35%
Outlet,2021,65.00,30%
Outlet,2021,75.00,50%
Outlet,2021,80.00,15%
Outlet,2021,55.00,30%
Outlet,2021,60.00,15%
Outlet,2021,55.00,30%
Outlet,2021,55.00,25%
Outlet,2021,65.00,45%
Outlet,2021,70.00,10%
Outlet,2021,55.00,30%
Outlet,2021,60.00,15%
Outlet,2021,55.00,30%
Outlet,2021,55.00,25%
Outlet,2021,65.00,45%
Outlet,2021,70.00,10%
Outlet,2021,55.00,30%
Outlet,2021,60.00,15%
Outlet,2021,55.00,30%
Outlet,2021,55.00,25%
Outlet,2021,65.00,45%
Outlet,2021,70.00,10%
Outlet,2021,55.00,30%
Outlet,2021,60.00,15%
Outlet,2021,55.00,30%
Outlet,2021,55.00,25%
Outlet,2021,65.00,45%
Outlet,2021,70.00,10%
Outlet,2021,35.00,40%
Outlet,2021,45.00,25%
Outlet,2021,45.00,40%
Outlet,2021,45.00,35%
Outlet,2021,50.00,55%
Outlet,2021,45.00,20%
Outlet,2021,35.00,40%
Outlet,2021,45.00,25%
Outlet,2021,45.00,40%
Outlet,2021,45.00,35%
Outlet,2021,50.00,55%
Outlet,2021,45.00,20%
Outlet,2021,35.00,40%
Outlet,2021,45.00,25%
Outlet,2021,45.00,40%
Outlet,2021,45.00,35%
Outlet,2021,50.00,55%
Outlet,2021,45.00,20%
Outlet,2021,45.00,40%
Outlet,2021,50.00,25%
Outlet,2021,50.00,40%
Outlet,2021,45.00,35%
Outlet,2021,50.00,55%
Outlet,2021,65.00,20%
Outlet,2021,45.00,40%
Outlet,2021,50.00,25%
Outlet,2021,50.00,40%
Outlet,2021,45.00,35%
Outlet,2021,50.00,55%
Outlet,2021,65.00,20%
Outlet,2021,45.00,40%
Outlet,2021,50.00,25%
Outlet,2021,50.00,40%
Outlet,2021,45.00,35%
Outlet,2021,50.00,55%
Outlet,2021,65.00,20%
Outlet,2021,45.00,40%
Outlet,2021,50.00,25%
Outlet,2021,50.00,40%
Outlet,2021,45.00,35%
Outlet,2021,50.00,55%
Outlet,2021,65.00,20%
Outlet,2021,50.00,40%
Outlet,2021,55.00,25%
Outlet,2021,50.00,40%
Outlet,2021,50.00,35%
Outlet,2021,60.00,55%
Outlet,2021,65.00,20%
Outlet,2021,50.00,40%
Outlet,2021,55.00,25%
Outlet,2021,50.00,40%
Outlet,2021,50.00,35%
Outlet,2021,60.00,55%
Outlet,2021,65.00,20%
Outlet,2021,50.00,40%
Outlet,2021,55.00,25%
Outlet,2021,50.00,40%
Outlet,2021,50.00,35%
Outlet,2021,60.00,55%
Outlet,2021,65.00,20%
Outlet,2021,50.00,40%
Outlet,2021,55.00,25%
Outlet,2021,50.00,40%
Outlet,2021,50.00,35%
Outlet,2021,60.00,55%
Outlet,2021,65.00,20%
Outlet,2021,50.00,40%
Outlet,2021,55.00,25%
Outlet,2021,50.00,40%
Outlet,2021,50.00,35%
Outlet,2021,60.00,55%
Outlet,2021,65.00,20%
Outlet,2021,45.00,40%
Outlet,2021,45.00,35%
Outlet,2021,35.00,35%
Outlet,2021,40.00,40%
Outlet,2021,55.00,35%
Outlet,2021,45.00,50%
Outlet,2021,45.00,40%
Outlet,2021,45.00,35%
Outlet,2021,35.00,35%
Outlet,2021,40.00,40%
Outlet,2021,55.00,35%
Outlet,2021,45.00,50%
Outlet,2021,50.00,40%
Outlet,2021,50.00,35%
Outlet,2021,40.00,35%
Outlet,2021,45.00,40%
Outlet,2021,60.00,35%
Outlet,2021,50.00,50%
Outlet,2021,50.00,40%
Outlet,2021,50.00,35%
Outlet,2021,40.00,35%
Outlet,2021,45.00,40%
Outlet,2021,60.00,35%
Outlet,2021,50.00,50%
Outlet,2021,60.00,40%
Outlet,2021,55.00,35%
Outlet,2021,50.00,35%
Outlet,2021,50.00,40%
Outlet,2021,60.00,35%
Outlet,2021,65.00,50%
Outlet,2021,50.00,40%
Outlet,2021,45.00,35%
Outlet,2021,40.00,35%
Outlet,2021,40.00,40%
Outlet,2021,50.00,35%
